,CO2
10930,224.0
10931,227.0
10938,229.0
10940,232.0
11053,207.0
11055,210.0
11057,219.0
11061,211.0
11065,213.0
11069,219.0
11073,207.0
11075,213.0
11077,222.0
11081,213.0
11085,216.0
11089,222.0
11123,207.0
11126,213.0
11129,222.0
11135,213.0
11141,216.0
11147,222.0
11243,238.0
11247,241.0
11251,246.0
11255,189.0
11260,197.0
11265,205.0
11277,201.0
11287,209.0
11297,214.0
12066,210.0
12068,219.0
12072,211.0
12074,213.0
12078,213.0
12080,222.0
12102,213.0
12105,222.0
12147,238.0
12151,241.0
12155,189.0
12157,197.0
12162,205.0
12176,201.0
12178,213.0
12181,209.0
12185,216.0
12272,213.0
12279,216.0
12433,246.0
12477,214.0
12783,269.0
12787,272.0
12791,240.0
12797,233.0
12799,243.0
12923,262.0
12939,258.0
13121,207.0
13123,210.0
13125,219.0
13129,211.0
13133,213.0
13137,219.0
13141,207.0
13144,208.0
13147,216.0
13153,208.0
13159,211.0
13165,216.0
13171,207.0
13173,213.0
13175,222.0
13179,213.0
13183,216.0
13187,222.0
13261,207.0
13264,213.0
13267,222.0
13273,213.0
13279,216.0
13285,222.0
14580,210.0
14582,219.0
14586,211.0
14588,213.0
14592,208.0
14595,216.0
14601,208.0
14604,211.0
14610,213.0
14612,222.0
14616,213.0
14618,216.0
14664,213.0
14667,222.0
14673,213.0
14676,216.0
16114,207.0
16117,208.0
16120,216.0
16126,208.0
16132,211.0
16138,216.0
17015,208.0
17018,216.0
17024,208.0
17027,211.0
17883,211.0
17887,213.0
17891,216.0
17896,208.0
17906,211.0
17916,214.0
18057,190.0
18061,192.0
18065,195.0
18069,198.0
18081,200.0
18093,203.0
18106,187.0
18120,190.0
18134,193.0
18483,211.0
18496,208.0
18657,190.0
18669,198.0
18706,187.0
19083,211.0
19096,208.0
19257,190.0
19269,198.0
19306,187.0
19695,216.0
19699,216.0
19733,214.0
19743,214.0
19961,195.0
19965,195.0
20003,203.0
20015,203.0
20065,193.0
20079,193.0
22413,232.0
22417,234.0
22422,230.0
22432,232.0
22501,232.0
22510,230.0
22589,232.0
22598,230.0
22685,234.0
22689,234.0
22717,232.0
22729,232.0
23223,211.0
23227,213.0
23231,216.0
23236,208.0
23246,211.0
23256,214.0
23397,190.0
23401,192.0
23405,195.0
23409,198.0
23415,200.0
23421,203.0
23428,187.0
23437,190.0
23446,193.0
23646,211.0
23659,208.0
23820,190.0
23832,198.0
23851,187.0
24069,211.0
24082,208.0
24243,190.0
24255,198.0
24274,187.0
24522,216.0
24524,214.0
24532,216.0
24534,214.0
24758,203.0
24764,203.0
24794,195.0
24796,193.0
24803,195.0
24805,193.0
26310,232.0
26314,234.0
26319,230.0
26329,232.0
26398,232.0
26407,230.0
26486,232.0
26495,230.0
26598,234.0
26600,232.0
26610,234.0
26612,232.0
27078,223.0
27079,221.0
27088,224.0
27089,221.0
27098,226.0
27099,224.0
27252,223.0
27253,221.0
27426,223.0
27427,221.0
27630,226.0
27632,224.0
27640,226.0
27642,224.0
31914,206.0
31917,208.0
31920,211.0
31923,195.0
31924,198.0
31927,198.0
31928,200.0
31931,200.0
31932,203.0
32301,211.0
32316,200.0
32317,203.0
32724,211.0
32739,200.0
32740,203.0
32854,214.0
32958,190.0
32960,192.0
32962,195.0
32964,198.0
32974,200.0
32984,203.0
32994,187.0
33006,190.0
33018,193.0
34250,214.0
34392,195.0
34424,203.0
34470,193.0
36166,203.0
36216,193.0
36218,195.0
36586,229.0
36588,232.0
36590,234.0
36592,227.0
36600,230.0
36608,232.0
36694,227.0
36796,227.0
36898,234.0
36924,232.0
37300,208.0
37301,211.0
37308,211.0
37309,213.0
37316,214.0
37317,216.0
37444,198.0
37449,200.0
37454,203.0
37459,187.0
37461,190.0
37466,190.0
37468,192.0
37473,193.0
37475,195.0
38404,214.0
38405,216.0
38555,203.0
38581,193.0
38583,195.0
39604,214.0
39605,216.0
39660,203.0
39689,193.0
