"Marque;Carburant;puiss_max;masse_ordma_min;Carrosserie;boite;gamme2;CO2;Cat_CO2"
"AUDI;ES;386.0;1820;COUPE;A;LUXE;310.0;G"
"AUDI;ES;386.0;1795;COUPE;M;LUXE;349.0;G"
"AUDI;ES;118.0;1355;COUPE;A;LUXE;147.0;D"
"AUDI;ES;118.0;1335;COUPE;M;LUXE;149.0;D"
"AUDI;ES;200.0;1505;COUPE;A;LUXE;179.0;E"
"AUDI;ES;200.0;1485;COUPE;M;LUXE;184.0;E"
"AUDI;ES;250.0;1550;COUPE;A;LUXE;197.0;E"
"AUDI;ES;250.0;1525;COUPE;M;LUXE;209.0;F"
"AUDI;ES;265.0;1550;COUPE;A;LUXE;197.0;E"
"AUDI;ES;265.0;1525;COUPE;M;LUXE;209.0;F"
"AUDI;ES;155.0;1375;COUPE;A;LUXE;164.0;E"
"AUDI;ES;155.0;1355;COUPE;M;LUXE;154.0;D"
"AUDI;ES;155.0;1455;COUPE;A;LUXE;169.0;E"
"AUDI;GO;125.0;1490;COUPE;A;LUXE;144.0;D"
"AUDI;GO;125.0;1465;COUPE;M;LUXE;139.0;C"
"AUDI;ES;118.0;1395;COUPE;A;LUXE;152.0;D"
"AUDI;ES;118.0;1380;COUPE;M;LUXE;152.0;D"
"AUDI;ES;200.0;1570;COUPE;A;LUXE;184.0;E"
"AUDI;ES;200.0;1550;COUPE;M;LUXE;189.0;E"
"AUDI;ES;250.0;1610;COUPE;A;LUXE;199.0;E"
"AUDI;ES;250.0;1585;COUPE;M;LUXE;212.0;F"
"AUDI;ES;265.0;1610;COUPE;A;LUXE;199.0;E"
"AUDI;ES;265.0;1585;COUPE;M;LUXE;212.0;F"
"AUDI;ES;155.0;1395;COUPE;A;LUXE;168.0;E"
"AUDI;ES;155.0;1390;COUPE;M;LUXE;156.0;D"
"AUDI;ES;155.0;1500;COUPE;A;LUXE;172.0;E"
"AUDI;GO;125.0;1535;COUPE;A;LUXE;146.0;D"
"AUDI;GO;125.0;1505;COUPE;M;LUXE;144.0;D"
"BENTLEY;ES;460.0;2395;COUPE;A;LUXE;338.0;G"
"BENTLEY;ES;423.0;2395;COUPE;A;LUXE;338.0;G"
"BENTLEY;ES;373.0;2370;COUPE;A;LUXE;246.0;F"
"BENTLEY;ES;460.0;2570;COUPE;A;LUXE;347.0;G"
"BENTLEY;ES;423.0;2570;CABRIOLET;A;LUXE;347.0;G"
"BENTLEY;ES;373.0;2545;CABRIOLET;A;LUXE;254.0;G"
"BENTLEY;ES;460.0;2565;BERLINE;A;LUXE;343.0;G"
"BENTLEY;ES;460.0;2550;BERLINE;A;LUXE;343.0;G"
