,puiss_max,masse_ordma_min,Marque,Carburant,Carrosserie,boite,gamme2
865,330.0,2015,4,0,2,0,2
866,330.0,2015,4,0,2,0,2
867,180.0,1940,4,1,0,0,2
868,180.0,1975,4,1,0,0,2
869,190.0,1915,4,1,0,0,2
870,190.0,1985,4,1,0,0,2
871,190.0,1950,4,1,0,0,2
872,240.0,1935,4,0,0,0,2
873,240.0,1970,4,0,0,0,2
874,225.0,2025,4,1,0,0,2
875,225.0,1950,4,1,0,0,2
876,235.0,1900,4,0,0,0,2
877,230.0,2015,4,1,0,0,2
878,230.0,1940,4,1,0,0,2
879,235.0,1920,4,0,0,0,2
880,300.0,2020,4,0,0,0,2
881,300.0,2055,4,0,0,0,2
882,300.0,2105,4,0,0,0,2
883,300.0,2135,4,0,0,0,2
884,330.0,2015,4,0,0,0,2
885,330.0,2075,4,0,0,0,2
886,280.0,2070,4,1,0,0,2
887,330.0,2035,4,0,0,0,2
888,280.0,2095,4,1,0,0,2
889,330.0,2110,4,0,0,0,2
