,puiss_max,masse_ordma_min,Marque,Carrosserie,boite,gamme2
2129,147.0,1615,12,1,0,4
2130,85.0,1496,12,0,1,4
2132,85.0,1505,12,1,1,4
2133,85.0,1496,12,0,1,4
2135,85.0,1505,12,1,1,4
2139,120.0,1573,12,0,0,4
2141,120.0,1592,12,1,0,4
2142,120.0,1504,12,0,1,4
2144,120.0,1575,12,1,1,4
2145,103.0,1573,12,0,0,4
2147,103.0,1592,12,1,0,4
2148,103.0,1504,12,0,1,4
2150,103.0,1575,12,1,1,4
2152,147.0,1733,12,7,0,5
2153,147.0,1734,12,7,1,5
2154,85.0,1703,12,7,1,5
2157,120.0,1690,12,7,1,5
2158,120.0,1689,12,7,0,5
2159,103.0,1690,12,7,1,5
2160,103.0,1689,12,7,0,5
2161,114.0,2136,12,3,1,1
2162,114.0,2160,12,3,1,1
2163,92.0,2136,12,3,1,1
2164,92.0,2160,12,3,1,1
2165,114.0,1975,12,5,1,3
2167,114.0,2057,12,5,1,3
2168,114.0,2083,12,5,1,3
2169,92.0,1975,12,5,1,3
2171,92.0,2057,12,5,1,3
2172,92.0,2083,12,5,1,3
2173,74.0,1975,12,5,1,3
2175,74.0,2057,12,5,1,3
2176,92.0,2015,12,5,1,3
