,CO2
2512,249.0
2513,194.0
2514,194.0
2515,199.0
2516,199.0
2517,172.0
2519,172.0
2524,161.0
2526,161.0
2528,327.0
2529,329.0
2531,218.0
2532,218.0
2535,328.0
2539,198.0
2541,327.0
2549,187.0
2551,209.0
2555,213.0
2557,227.0
2561,256.0
2562,263.0
2572,217.0
2573,194.0
2577,217.0
2578,230.0
2584,265.0
2585,273.0
2591,124.0
2592,159.0
2593,127.0
2594,132.0
2595,149.0
2596,154.0
2597,124.0
2598,159.0
2599,127.0
2600,132.0
2601,149.0
2602,154.0
2603,114.0
2604,140.0
2605,109.0
2606,145.0
2608,108.0
2609,114.0
2610,130.0
2611,135.0
2612,140.0
2614,140.0
2615,117.0
2616,149.0
2617,117.0
2618,149.0
2619,117.0
2620,144.0
2621,134.0
2622,138.0
2623,158.0
2624,133.0
2626,99.0
2627,99.0
2628,125.0
2629,105.0
2630,109.0
2631,100.0
2632,94.0
2633,94.0
2634,85.0
2636,109.0
2637,109.0
2638,113.0
2639,113.0
2640,150.0
2641,128.0
2642,130.0
2643,114.0
2644,114.0
2645,155.0
2646,155.0
2647,178.0
2648,159.0
2649,155.0
2650,129.0
2651,149.0
2653,189.0
2654,179.0
2655,183.0
2656,149.0
2657,156.0
2658,139.0
2659,147.0
2660,135.0
2661,143.0
2662,149.0
2663,119.0
2664,125.0
2665,140.0
2667,139.0
2668,154.0
2669,225.0
2678,155.0
2696,150.0
2697,150.0
2698,370.0
2699,370.0
2700,341.0
2701,341.0
2702,315.0
2703,315.0
2704,351.0
2705,325.0
2706,354.0
2707,330.0
2708,354.0
2709,330.0
2710,344.0
2711,319.0
2712,350.0
2713,327.0
2714,146.0
2732,120.0
2733,122.0
2735,149.0
2736,122.0
2738,135.0
2740,221.0
2742,130.0
2743,140.0
2744,109.0
2745,114.0
2746,219.0
2747,227.0
2748,229.0
2749,185.0
2750,191.0
2751,185.0
2752,207.0
2753,207.0
2754,252.0
2755,115.0
2756,120.0
2758,99.0
2759,97.0
2760,95.0
2762,99.0
2763,97.0
2810,207.0
2811,209.0
2812,211.0
2819,270.0
2828,144.0
2834,134.0
2841,194.0
2851,213.0
2858,379.0
2860,379.0
2866,379.0
2868,379.0
2886,261.0
2888,249.0
2890,249.0
2897,274.0
2899,263.0
2921,250.0
2940,149.0
2941,175.0
2944,217.0
2948,210.0
2952,229.0
2956,224.0
2960,236.0
2961,236.0
2966,337.0
2967,337.0
2969,330.0
2970,360.0
2971,337.0
2972,331.0
2973,274.0
2974,350.0
2975,350.0
2977,368.0
2979,350.0
2981,350.0
2983,368.0
2985,368.0
2987,132.0
2988,115.0
2989,132.0
2990,145.0
2991,110.0
2992,115.0
2993,115.0
2994,219.0
2995,142.0
2996,175.0
2997,157.0
2998,115.0
2999,144.0
3000,168.0
3001,159.0
3002,138.0
3003,148.0
3011,135.0
3019,150.0
3027,136.0
3035,108.0
3043,127.0
3051,119.0
3059,127.0
3067,116.0
3075,129.0
3083,121.0
3091,129.0
3099,140.0
3100,133.0
3101,159.0
3102,176.0
3103,141.0
3104,135.0
3105,139.0
3113,119.0
3121,139.0
3129,155.0
3137,155.0
3145,136.0
3153,144.0
3161,136.0
3169,144.0
3177,167.0
3178,181.0
3179,188.0
3180,161.0
3182,165.0
3204,280.0
3206,280.0
3208,280.0
3216,285.0
3218,285.0
3220,285.0
3222,235.0
3226,248.0
3230,235.0
3234,248.0
3238,231.0
3242,243.0
3246,231.0
3250,243.0
3254,230.0
3259,230.0
3266,242.0
3268,230.0
3272,232.0
3280,242.0
3282,234.0
3290,234.0
3302,246.0
3304,234.0
3312,246.0
3314,276.0
3316,276.0
3322,231.0
3324,231.0
3326,270.0
3328,195.0
3330,308.0
3336,321.0
3338,308.0
3346,308.0
3350,308.0
3354,109.0
3356,110.0
3357,114.0
3359,116.0
3380,98.0
3383,99.0
3384,102.0
3386,105.0
3414,92.0
3418,128.0
3419,133.0
3420,135.0
3422,129.0
3438,127.0
3440,131.0
3442,133.0
3446,128.0
3472,120.0
3490,109.0
3493,114.0
3496,116.0
3508,111.0
3511,118.0
3514,121.0
3526,129.0
3527,134.0
3528,136.0
3532,127.0
3534,131.0
3536,133.0
3551,109.0
3552,113.0
3553,115.0
3561,156.0
3562,159.0
3565,143.0
3568,145.0
3571,148.0
3581,161.0
3582,165.0
3585,115.0
3586,112.0
3587,113.0
3590,116.0
